videoID;Published_at;Video_title;Description;Channel_title;Channel_subscribers;Tags;View_count;Like_count;Dislike_count;Favorite_count;Comment_count
4W6PlaQd2rI;2019-12-07T23:00:00.000Z;Resumen de FC Barcelona vs RCD Mallorca (5-2);Victoria contundente del FC Barcelona contra el RCD Mallorca en el Camp Nou con hat-trick de Leo Messi y los goles de Griezmann y Luis Suárez #BarçaRCDMallorca J16 LaLiga Santander 2019/2020  Suscríbete al canal oficial de LaLiga Santander en HD | 2019-12-07 00.00h | J16 | BAR | MLL LaLiga Santander on YouTube: http://goo.gl/Cp0tC LaCopa on YouTube: http://bit.ly/1P4ZriP LaLiga SmartBank on YouTube: http://bit.ly/1OvSXbi Facebook: https://www.facebook.com/LaLiga Twitter: https://twitter.com/LaLiga Instagram: https://instagram.com/laliga Google+: http://goo.gl/46Py9;LaLiga Santander;-1;española,oficial,soccer,football,spanish league,laliga,resumen,highlight,FC Barcelona vs RCD Mallorca 5-2,sp:st=soccer,sp:vl=es,sp:dt=2019-12-07T20:00:00Z,sp:ti:home=fcb,sp:ti:away=mll,sp:ty=high,sp:or=2,sp:li=liga,hl,highlights,matchday,Balón de Oro,Ter Stegen,Manolo Reina,Luis Suarez,Salva Sevilla,Frenkie De Jong,Budimir,Lenglet,Sastre,Sergi Roberto,Piqué,Pique,Valverde,Vicente Moreno;1978582;31993;1458;0;1632
h7lmKsyfthQ;2019-12-08T01:40:02.000Z;FMS ARGENTINA - Jornada 8 #FMSCORRIENTES Temporada 2019;CAMINO A LA FINAL: Octava y penúltima jornada de #FMSARGENTINA. Cada punto es definitorio para lograr el campeonato, la Liga se empieza a definir.  Los cruces de la jornada serán: Papo vs Klan Dtoke vs Mks Trueno vs Cacha Stuart vs Nacho Sub vs Replik   Ahora tu eres el jurado. Vota en http://www.urbanroosters.com   Síguenos en nuestras redes:  Twitter: https://twitter.com/urbanroosters  Instagram: https://www.instagram.com/urbanroosters Facebook: https://www.facebook.com/urbanroosters  BEATMAKERS OFICIALES  ZONE: https://bit.ly/2GSxoVz VERSE: https://bit.ly/31l3OzW SONICKO: https://bit.ly/2yKexrm DJ ATENEA: http://bit.ly/2Kd9dn7 ORLATH: https://bit.ly/2TiWFw4 BEATMOSFERAH: http://bit.ly/2ZoItVD ENFABEATS: http://bit.ly/318L4Dz CHALOBEATZ: http://bit.ly/2OyFiKf AZERBEATS: http://bit.ly/2GHOZQ0 GONEM BEATS: http://bit.ly/2YCW4vt NEHIZ: http://bit.ly/2OzvTSG BROSKY: http://bit.ly/2KhaYhW IMPAVIDOH: http://bit.ly/2MzCZ6U BIGSAMPLE: http://bit.ly/31MPIIr NASS G: http://bit.ly/2lZYPW5 MACRODEE: http://bit.ly/2Vep4Wd OUR4: https://bit.ly/2lSWr3d GAFEMUSIC: https://bit.ly/2ktE2d4 SEBAZSTYLES: https://bit.ly/2ksanRt IAN NIHRU: https://bit.ly/2jZKvMx CRASEK: https://bit.ly/2jZOadn DOSEFEK: https://bit.ly/2lDZpZb EZNARBEATS: https://bit.ly/2k4RbsY ZORNBEATS: https://bit.ly/2lSdcvo MARMISHEN: https://bit.ly/2lZ6nsa LEOJAH: https://bit.ly/2k2W2eb KROSSBEATS: https://bit.ly/2kuSYYe PACHAONEBEATS: https://bit.ly/2lVpenO CHESSBEATS: https://bit.ly/2lUhfr3 432 BEATS: http://bit.ly/2LPyy7v NEO R: http://bit.ly/357MBN0 DELAION: http://bit.ly/2lxWRfi;Urban Roosters;-1;freestyle,urban,roosters,urban roosters,urbanroosters,cacha,fms,fms argentina,Fms españa,Fms Chile,FMS México,Papo,Wos,Trueno mc,Dtoke,Replik,Dani,Cacha mc,Mks,Klan,Nacho mc,Stuart,freestyle argentina,rap argentino,batallas de freestyle argentina,trueno vs cacha,sub vs replik,stuart vs nacho,papo vs klan,dtoke vs mks;2944486;104232;2069;0;3486
5RrwiOn3J1A;2019-12-08T15:10:55.000Z;DIVERTIDOS TRUCOS DIY DE ESCUELA || ¡Manualidades y trucos para el regreso a clases! Por 123 GO!;¡La escuela está en sesión! Y sabes lo que eso significa: ¡nuestros cerebros están en modo de trabajo! Pero con los maestros, las clases y las mañanas tempranas son un desafío importante. Y estamos aquí para ayudarlo a cortar algunas esquinas utilizando nada más que pensamiento rápido y un poco de astucia.  ¿No puedes tener suficiente de estos fantásticos trucos escolares? ¡Nosotros tampoco! ¡Asegúrate de compartir esto con tus amigos! ¡No olvides suscribirte a nuestro canal de YouTube para que nunca te pierdas nuestros increíbles consejos y trucos!  #trucos#divertido #DIY   Suscríbete a 123GO! Spanish: http://bit.do/123goSpanish --------------------------------------------------------------------------------------------  Mósica por Epidemic Sound  https://www.epidemicsound.com/  Materiales de archivo (fotos, grabaciones y otros): https://www.depositphotos.com https://www.shutterstock.com;123 GO! Spanish;-1;HTM,manualidad,manualidades,broma,bromas,desafío,desafíos,divertido,gracioso,123GO!,123 go,123go,amigos,amistoso,tutorial,cómo,cómo hacer,bromas fáciles,bromas graciosas,bromas caseras,cómo hacer una broma,bromas con comida,truco,trucos,engaña a tus amigos;2367348;28764;3505;0;841
2lAe1cqCOXo;2019-12-05T18:00:14.000Z;YouTube Rewind 2019: For the Record | #YouTubeRewind;In 2018, we made something you didn’t like. For Rewind 2019, let’s see what you DID like.  Celebrating the creators, music and moments that mattered most to you in 2019.   To learn how the top lists in Rewind were generated: https://rewind.youtube/about  Top lists featured the following channels:  @1MILLION Dance Studio  @A4  @Anaysa  @Andymation  @Ariana Grande  @Awez Darbar  @AzzyLand  @Billie Eilish  @Black Gryph0n  @BLACKPINK  @ChapkisDanceUSA  @Daddy Yankee  @David Dobrik  @Dude Perfect  @Felipe Neto  @Fischer's-フィッシャーズ-  @Galen Hooks  @ibighit  @James Charles  @jeffreestar  @Jelly  @Kylie Jenner  @LazarBeam  @Lil Dicky  @Lil Nas X  @LOUD  @LOUD Babi  @LOUD Coringa  @Magnet World  @MrBeast  @Nilson Izaias Papinho Oficial  @Noah Schnapp @백종원의 요리비책 Paik's Cuisine  @Pencilmation  @PewDiePie  @SethEverman  @shane  @Shawn Mendes  @Team Naach  @whinderssonnunes  @워크맨-Workman  @하루한끼 one meal a day   To see the full list of featured channels in Rewind 2019, visit: https://rewind.youtube/about;YouTube;-1;Rewind,Rewind 2019,youtube rewind 2019,#YouTubeRewind,MrBeast,PewDiePie,James Charles,Shane Dawson,CaseyNeistat,RiceGum,Simone Giertz,JennaMarbles,Lilly Singh,emma chamberlain,The Try Guys,Fortnite,Minecraft,Roblox,Marshmello,Garena Free Fire,GTA V,Lachlan,Anaysa,jeffreestar,Noah Schnapp,Jennelle Eliana,T-Series,Azzyland,LazarBeam,Dude Perfect,David Dobrik,KSI,NikkieTutorials,Kurzgesagt,Jelly,Ariana Grande,Billie Eilish,BLACKPINK,Year in Review;50618121;2671092;6304691;0;869418
6rlmOljMiXU;2019-12-06T05:00:09.000Z;Darell - No Vuelvas Más (Official Video);Darell — No Vuelvas Más (Official Video)  Director: Fernando Lugo Productor: Fabiana Olive  Música Disponible:   Apple Music: https://smarturl.it/DarellNoVuelvasMas/applemusic  Spotify: https://smarturl.it/DarellNoVuelvasMas/spotify  Amazon Music: https://smarturl.it/DarellNoVuelvasMas/az  Youtube: https://smarturl.it/DarellNoVuelvasMas/youtube  iTunes: https://smarturl.it/DarellNoVuelvasMas/itunes  Google Play: https://smarturl.it/DarellNoVuelvasMas/googleplay   Darell Redes:  http://bit.ly/DarellFaceBook http://bit.ly/DarellTwitter http://bit.ly/DarellInstagram   #Darell #NoVuelvasMás Official Music Video by Darell performing “No Vuelvas Más” (C) 2019 Sony Music Entertainment US Latin LLC  http://vevo.ly/hb4HJf;DarellVEVO;-1;velitas,darell,brytiago,official video,video oficia,lmusica en españo,lmusica latina,puerto rico,pr,latinos,urban flow,urbanotrap,reggaeton,sony music,Darell & Brytiago,Darell,Latin Urban,No Vuelvas Más,Sony Music Latin;3408231;157806;2932;0;4113
UjJyA19URHY;2019-12-07T22:00:08.000Z;HIGHLIGHTS | SPURS 5-0 BURNLEY | ft. Heung-min Son's wonder goal!;Watch all five goals from Tottenham Hotspur's Premier League win over Burnley, including Heung-min Son's unbelievable solo strike!  Subscribe to Spurs TV on YouTube: http://spurs.to/YouTube   Facebook: http://spurs.to/Facebook Instagram: http://spurs.to/Instagram Twitter: http://spurs.to/SpursOfficial;Tottenham Hotspur;-1;Spurs,Tottenham Hotspur,Tottenham,Football,Spurs TV,White Hart Lane,Soccer,EPL,Premiership,Premier League,FA Cup,League Cup,COYS,THFC,Goals,Highlights,Training,Skills,Tricks,Hotspurs,Heung-min Son,Son,South Korea,Spurs 5-0 Burnley,Son goal;2379844;31225;613;0;2570
ETWpnVhlaSo;2019-12-07T18:16:40.000Z;Ficho a los MEJORES POTENCIALES dinámicos del MODO CARRERA;Reconstruyendo el equipo con jóvenes promesas con un potencial increible  Suscribete al canal click aquí: https://goo.gl/KGkAEd  Instagram: https://www.instagram.com/robert__pg/  Twitter: https://twitter.com/RobertPG94;ROBERT PG;-1;MODO CARRERA,POTENCIAL,VALORACION POTENCIAL,MODO ENTRENADOR,FIFA 20,MODO MANAGER,MODO CARRERA FICHAJES,FICHANDO,JOVENES PROMESAS CON GRAN POTENCIAL,MODO CARRERA EN ESPAÑOL;729783;60046;755;0;6900
fraloxvs_eY;2019-12-08T17:00:11.000Z;La casa de papel 4 | Anuncio de la fecha de estreno | Netflix;Prepárate para el caos. La parte 4 de  La casa de papel  se estrena exclusivamente en Netflix el 3 de abril de 2020.;Netflix España;-1;LCDP,Netflix,Darko Peric,Bella Ciao,Úrsula Corberó,Money Heist 4,Álvaro Morte,El Profesor,La Casa di carta,Date,Trailer,La Casa di carta 4,estreno,La casa de papel,Parte 4,Jaime Lorente,Esther Acebo,La casa de papel 4,Itziar Ituño,Miguel Herrán,LCpa4DP!!!,tráiler,Money Heist;70828;4351;52;0;186
kMJvtLiFjBU;2019-12-08T20:15:00.000Z;Lo mejor y lo peor de 2019  #2;Triline  SUSCRÍBETE aquí! ► http://bit.ly/POqbZu Instagram ► https://www.instagram.com/trilineoficial Facebook ► http://www.facebook.com/SrTriline Twitter      ► http://bit.ly/15YWVbc El increíble libro de Tri-line ► http://bit.ly/1jLTag9  Aplicación que te avisa cuando subo vídeo ► http://bit.ly/1hP2hVf   ------------------------------------ No dudes en preguntar y sugerir cosas ^^ Y por favor, comparte este canal en tus redes sociales, me ayudarías mucho! Un besazo y hasta pronto :'D;Tri-line;-1;triline,videos chistosos,youtub,videos graciosos,videos,youtube videos;737339;79217;771;0;2110
d4S2WqHTOXY;2019-12-08T19:00:15.000Z;NOS COLAMOS EN DIFERENTES LUGARES SIN PAGAR 👷🏼😂;⇩⇩ ABRE LA DESCRIPCIÓN ⇩⇩  En este experimento hemos querido comprobar lo que podemos llegar a hacer y conseguir simplemente vistiendo con un chaleco reflectante. En ningún momento nos hemos intentado aprovechar de la situación, ya que no hemos ni estado más de 5 minutos en los diferentes espacios.   Con este vídeo queremos mandar un mensaje a los diferentes espacios privados para que lo tomen como una oportunidad para endurecer su seguridad.  -  ◆Gracias a @BangEnergy por promocionar este vídeo. Sigue al creador de Bang en Instagram: @BangEnergy.CEO   ◆Usa el código BROOSTV25 en bang-energy.com y consigue un 25% de descuento en sus productos.   #BangEnergy #EnergyDrink  ◆Suscríbete al canal secundario: https://bit.ly/2PWd7lu ◆Camisetas oficiales BROO'S TV: https://bit.ly/2VbD29S ◆Las Mejores Bromas: https://bit.ly/2MbwHem  SÍGUENOS EN NUESTRAS REDES SOCIALES⤵  ◆Facebook BROO'S TV: https://bit.ly/2PVpy0Q ◆Instagram BROO'S TV: https://bit.ly/2WDipF8 ◆Instagram Abel: https://bit.ly/2WzyJGH ◆Instagram Blaket: https://bit.ly/2HgjMV3 ◆Grupo de facebook: https://bit.ly/2JfKkb5  CORREO PARA NEGOCIOS: fabrostv@gmail.com  ¡SUSCRÍBETE Y ÚNETE AL EJÉRCITO! ¡YA SOMOS MÁS DE 1 MILLÓN DE SOLDADOS!;BROO'S TV;-1;nos colamos en el zoo,nos colamos en el cine,nos colamos en un museo,experimento social chaleco amarillo,experimento chaleco reflectante,entramos gratis en diferentes lugares,nos hacemos pasar por trabajadores broma,broma trabajadores del zoo,broma en el cine,broma en el museo,las mejores bromas de 2019,broma con camara oculta,videos graciosos,videos de risa,we sneak in everywhere for free,yellow vest social experiment,yellow vest experiment,broostv,brostv;141297;17317;497;0;865
