videoID;Published_at;Video_title;Description;Channel_title;Channel_subscribers;Tags;View_count;Like_count;Dislike_count;Favorite_count;Comment_count
VA4YElKIlbU;2019-12-11T21:07:43.000Z;TRIANGULAR LEO MESSI - MAMBO vs LA ELITE vs HERETICS;►SUSCRÍBETE AQUÍ: http://goo.gl/Fd9Cwb ►Hazte MIEMBRO del canal aquí: https://goo.gl/ey73W1 ➜EVENTO ADIDAS con LEO MESSI, Mambo, La Elite y Heretics, sólo espero que Grefg no gane otra vez el sinvergüenza.    ➜Canal Secundario: http://www.youtube.com/DjMaRiiOHD ➜ Sígueme en Instagram: https://instagram.com/DjMaRiiO ➜Sígueme en Twitter: http://www.twitter.com/DjMaRiiO_90  -----------------------------------------------------------------------  ►DjMaRiiO vs CRISTIANO RONALDO: https://goo.gl/v8m1Bz ►DjMaRiiO & LEO MESSI: https://goo.gl/SA9Wgk ►MI VIAJE CON EL REAL  MADRID: https://goo.gl/FAjJrq ►CHATROULETTE: https://goo.gl/BSspmG ►ESPECIAL 1 MILLÓN CON EL MADRID: https://goo.gl/n6OkRO ►GTA V: https://goo.gl/LLVquz ►BAILA COMO EL PAPU: https://goo.gl/iGhU8P  -----------------------------------------------------------------------  ►MENSAJES DE VOZ EN PANTALLA: https://streamlabs.com/djmariio3 (hoy he puesto mínimo de 3€ para evitar demasiado spam)  -----------------------------------------------------------------------  -MIEMBROS TOP 100 DEL CANAL !!!!  dilan gomez Angels de Festa Adrian Izquierdo soria Franco Figueroa Montiii10 FIFA Angel Rodriguez Climent J10 RCDE Douglas Mendoza Enrique Conesa Emmawuel Rodrigws Trolex _534 Abudi Jebara thephh5 69;DjMaRiiO;-1;;871268;46076;46076;0;392
YBn1APVY1WU;2019-12-11T14:00:13.000Z;D' La Crem Ft. Rvfv & Chiki El De La Vaina - X.O.X.O. (REMIX);https://open.spotify.com/track/4FaoCozE0HEbIZwCp5XHcV;Foxy Music;-1;;91216;7151;7151;0;219
wOym37a8lpY;2019-12-11T13:44:19.000Z;Exploramos un BARCO FANTASMA / PARTE 2;ROPA DEL TEAM WHAT!! : https://www.whatparkour.com  En este nuevo videblog os traigo una de mis mejores experiencias, una aventura increíble, exploro un barco 👻 con guille what y shifer what  También saltamos al agua desde la antigua cubierta!  Brutal... Espero de verdad que lo disfrutéis 😃  Espero que os guste y disfrutéis el video! -Mi Instagram: https://www.instagram.com/alfon.what  WHATPARKOUR! #TEAMWHAT  Canales de LOS MIEMBROS DE WHAT!:  PINTOS: https://www.youtube.com/channel/UCcgrzE9nTEZX3yuMwmSWWPA GUILLE:   https://www.youtube.com/user/guillefreerunner94 COSMIN: https://www.youtube.com/user/cosmintraceur1 SHIFER:   https://www.youtube.com/user/ShiferXQ;Alfon WHAT;-1;what,team what,whatparkour,alfon,alfon what,alfon santaella,guille what,shifer,exploramos un barco fantasma,saltos al agua,increible,buzeo,subacuatico,doble invertido,frontflip,bacflip,barco,navio,mar,oceano,gopro,cosmin what,pintos what;98419;17149;17149;0;348
cdTDEeJSSC8;2019-12-11T00:01:14.000Z;LA RESISTENCIA - Entrevista a Roberto Leal | #LaResistencia 10.12.2019;La Resistencia 3x52 | El segundo mejor presentador.  Suscríbete a /cerotube para tener lo mejor de #0, HAZ CLICK AQUÍ:  http://www.youtube.com/channel/UCPgvCUSmHWm2177LkwLtZQw?sub_confirmation=1  Descarga la aplicación de Movistar+:  iOS: https://apps.apple.com/es/app/movistar/id540674767  Android: https://play.google.com/store/apps/details?id=es.plus.yomvi&hl=es  O sigue viendo el contenido en tu navegador: http://ver.movistarplus.es/?nv=2  Y DESCUBRE MÁS EN: http://www.movistarplus.es/cero;La Resistencia en Movistar+;-1;#0,cerotube,movistar cero,cero movista,movistar+ cero,#0 movistar,movistar+,movistar plus,canal+,canal plus,canal cero,canal 0,canal #0,resistencia,monologos,late show,broncano,david broncano,la vida moderna,ricardo castella,Jorge Ponce,el terrat,la caja,cuánto dinero tienes,Roberto Leal,Mejor presentador,Premios Iris,Operación Triunfo;693143;16041;16041;0;695
vPx6M7eTYbc;2019-12-11T07:08:34.000Z;Spill Your Guts: Harry Styles & Kendall Jenner;Late Late Show guest host Harry Styles challenges Kendall Jenner to a game of Spill Your Guts or Fill Your Guts, in which the two ask each other very personal questions and face a choice: answer truthfully or eat whatever is in front of you. Will cod sperm and a salmon smoothie force them to spill their guts?  More Late Late Show: Subscribe: http://bit.ly/CordenYouTube Watch Full Episodes: http://bit.ly/1ENyPw4 Facebook: http://on.fb.me/19PIHLC Twitter: http://bit.ly/1Iv0q6k Instagram: http://bit.ly/latelategram  Watch The Late Late Show with James Corden weeknights at 12:35 AM ET/11:35 PM CT. Only on CBS.  Get new episodes of shows you love across devices the next day, stream live TV, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B  --- Each week night, THE LATE LATE SHOW with JAMES CORDEN throws the ultimate late night after party with a mix of celebrity guests, edgy musical acts, games and sketches. Corden differentiates his show by offering viewers a peek behind-the-scenes into the green room, bringing all of his guests out at once and lending his musical and acting talents to various sketches. Additionally, bandleader Reggie Watts and the house band provide original, improvised music throughout the show. Since Corden took the reigns as host in March 2015, he has quickly become known for generating buzzworthy viral videos, such as Carpool Karaoke. ;The Late Late Show with James Corden;-1;The Late Late Show,Late Late Show,James Corden,Corden,late night,late night show,comedy,comedian,celebrity,celeb,celebrities,CBS,joke,jokes,funny,funny videos,funny video,humor,hollywood,famous,spill your guts,harry kendall,harry styles kendall jenner,kendall jenner,kendall,harry styles,gross food,harry styles questions,kendall jenner questions,harry styles hosts late late show;9503426;493956;493956;0;17835
Kz6HTy7fXP4;2019-12-11T15:45:54.000Z;¿Si las chicas PERREAN los chicos gatean? | Comentarios en la Vida Real 2;Ahorra el 81% entrando en https://nordvpn.com/videopatas o usa el código VIDEOPATAS para obtener dos regalos alucinantes: 4 meses extra con el plan de 3 años y la app de gestión de contraseñas Nordpass gratis (valorados en 175 euros)  ¿Si las chicas perrean los chicos gatean? ¿Quien creó a Dios? Y otras preguntas y comentarios locos con respuestas en la vida real aún más locas y divertidas.   Nuestras Redes Sociales  Twitter: https://www.twitter.com/videopatas  Facebook: https://www.facebook.com/videopatas  Instagram: https://www.instagram.com/videopatas  TikTok: Videópatas  Hazte miembro de Videópatas: https://www.youtube.com/channel/UCvNjHd-QPHwdNZTMCrXI0Ww/join  Guión: Ángel Moraleda y Álvaro Martínez Creado y dirigido por Álvaro Martínez y Ángel Moraleda  Nuestras Redes Sociales Twitter: https://www.twitter.com/videopatas Facebook: https://www.facebook.com/videopatas Instagram: https://www.instagram.com/videopatas TikTok: Videópatas  Nuestro curso online de edición de vídeo: https://videopatia.kpages.online/videopatia_2  Música: Kevin MacLeod: www.incompetech.com  Biblioteca de Epidemicsound.com;Videópatas;-1;comentarios en la vida real,comentarios en la vida real videopatas,chicas perrean,perrear,chicos gatean,gatear,dios,comentarios,repaso de comentarios,videópatas,sketch,humor,risa,efectos especiales,fx,ave llana,preguntas,preguntas y respuestas,suscriptores,redes sociales,nordvpn,gratis,plan,regalos,código,increíble,perreo,baile sexy,twerk;165457;14245;14245;0;719
yFplDIA97yQ;2019-12-11T19:15:14.000Z;OYE SIRI | Hamza Zaidi;OYE, SIRI es un corto en el que me inspiré de la serie Black Mirror donde ocurren movidotes futuristas que próximamente puede que ocurran como en ESTE SKETCH jajajajja. Disfrútalo   TOMAS FALSAS DE LOS SKETCHES JAJJA:  https://bit.ly/2RLnf3l  Vídeo dirigido, producido y guionizado por Hamza Zaidi.  Grabado y editado por mi Tito Naistikk :   https://instagram.com/naistikk?igshid=mb2n5rcysu6e   *No olvides dar LIKE y SUBSCRIBE si quieres más sketches, a ti no te cuesta nada y a mi me motiva LOKASOO!!!;Hamza Zaidi;-1;oye siri,hey siri,broma siri,hey siri meme,hey siri sketch,oye siri sketch,preguntas a siri,siri apple,hamza zaidi,hamza zaidi sketch,hamza vines,hamza zaidi vines,fatema vines,kitipasa,hamza kitipasa,sketches de hamza,sketches sobre tecnologia,inteligencia artificial,machine learning bromas,machine learning jokes,inteligencia artificial broma,hamza zaidi 2019;151645;15824;15824;0;422
PAiKqQ51IW8;2019-12-11T21:15:46.000Z;Tour express imperdible por MADRID 🇪🇸🥩;¡SUSCRÍBETE!    - Twitter https://www.twitter.com/LuisitoComunica  - Facebook http://www.facebook.com/LuisitoComunica  - Instagram http://www.instagram.com/LuisitoComunica;Luisito Comunica;-1;luisitocomunicaa,luisito comunica,luisito comunicaa,luisito,comunica,comunicaa,Madrid,España,Spain,travel,vlog,tour,tips,consejos,que ver,que visitar,tour express,rapido,jamón,turístico,destinos,turismo;1066207;84577;84577;0;6321
VCu8lC2ecY4;2019-12-11T19:21:23.000Z;FUTBOL 99% IMPOSIBLE CON LOS NIÑOS PAYASO !! *PENALTIS IMPARABLES* Exi;Continuación: https://youtu.be/LQZvUJHlt40 🦁 COMPRA TU SUDADERA !! : https://6kskin.com/es/84-exi 😇 SUSCRÍBETE: http://goo.gl/EK0ClC  Futbol 99% imposible vs los niños payaso y penaltis imparables!!  ►Instagram : https://www.instagram.com/itsexii/ ► Twiiter : https://twitter.com/Exidax ►Facebook : https://www.facebook.com/Exidax ►Google + : https://goo.gl/fyR1zS  No olvidéis suscribiros para ver más contenido divertido y gracioso family friendly    Espero que disfrutéis de mi canal Family Friendly de entretenimiento 2019.;Exi;-1;exi,futbol 99% imposible,futbol,imposible,football,niños,niño,payaso,payasos,penaltis imparables,penaltis,imparables,reto,challenge,2019,payaso master,serie,episodio,capitulo,oscarito,gigiis,like lion,like lion team,equipo,de futbol,faltas imposibles,faltas,increibles;103847;10926;10926;0;618
bx7sz11f7Po;2019-12-11T19:00:03.000Z;La Vida Moderna | 6X55 | Calentamiento;LVM 6x55 | Recordad: Somos gilipollas  *************************************************************** Menú del día  1) Monólogo  2) Hola, ¿cómo están?, soy Mimi Milata de 'Mi vida en un dulce' y el día de hoy vamos a aprender a hacer un riquísimo queque de zanahoria  3) You lift my heart up when the rest of me is down  *************************************************************** Equipo:  Álex Pinacho - Producción y redes sociales Coke Peinado - Sonido Pablo Palacios - Grabación y edición de vídeo Bea Polo - Grabación y edición de vídeo  *************************************************************** Músicas de hoy:  Pressure & Time - Rival Sons When electricity came to Arkansas - Black Oak Arkansas Amos Moses - Jerry Reed Don't speak - Eagles of Death Metal  Tenemos perfil en Spotify, por si quieres consultar otros temas → https://open.spotify.com/user/lavidamodernaser?si=K7cCMySAS9Ole9o7n7khSQ  *************************************************************** Si quieres venir de público, esto te interesa: http://cadenaser.com/programa/2017/09/19/videos/1505808171_331719.html  Podéis dar la turra también en: Cadena SER: http://cadenaser.com/programa/la_vida_moderna/ Facebook: https://www.facebook.com/LaVidaModerna Twitter: ‪‬ https://twitter.com/vidamoderna Instagram: https://www.instagram.com/la_vida_moderna/ Spotify: https://open.spotify.com/user/lavidamodernaser   Descarga la app en tu móvil o tablet: Enlace Itunes Store: https://goo.gl/dBLXOz Enlace Google Play: https://goo.gl/8oVRwZ  Enlaces podcast Podcast Itunes: https://goo.gl/IcGh8w RSS: http://goo.gl/FLO3ze;La Vida Moderna;-1;David Broncano,Juan Carlos Ortega,Cadena SER,Humor,Chiste,LOL,Oh! My LOL,gracioso,radio,Ignatius Farray,Quequé,Premios ondas,La Resistencia,Pollito de Troya,Rancius,Sashimi,Moderno;77654;2403;2403;0;284
